0.00%,25.50%,15.60%,17.10%,15.60%,15.20%,14.70%,14.20%,13.80%,13.50%
0.00%,0.00%,4.90%,3.80%,4.40%,4.20%,4.20%,4.20%,4.20%,4.10%
0.00%,0.00%,0.00%,0.30%,0.60%,0.90%,1.10%,1.30%,1.40%,1.60%
0.00%,0.00%,0.50%,0.40%,0.40%,0.50%,0.60%,0.70%,0.80%,0.90%
0.00%,0.00%,4.30%,3.60%,3.40%,3.00%,2.80%,2.60%,2.50%,2.30%
0.00%,0.00%,0.20%,1.00%,1.70%,1.80%,2.00%,2.00%,2.00%,2.00%
0.00%,9.00%,5.40%,4.70%,4.10%,3.70%,3.30%,3.00%,2.80%,2.60%
0.00%,0.00%,0.20%,0.30%,0.20%,0.30%,0.30%,0.30%,0.40%,0.40%
0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.10%,0.10%,0.10%,0.10%
0.00%,0.00%,0.00%,0.00%,0.00%,0.10%,0.10%,0.10%,0.20%,0.20%
0.00%,0.00%,0.00%,0.00%,0.00%,0.10%,0.10%,0.10%,0.20%,0.20%
0.00%,0.00%,0.00%,0.10%,0.40%,0.70%,1.00%,1.20%,1.30%,1.40%
